dataset,declared_start,declared_fs,inferred_fs,samples,duration_s,missing_by_timeline,duplicate_timestamps,nonpositive_steps,large_gaps,processing_label
2026-03-26 上手,2026/03/26 13:30:43,1024.0,1024.000524282724,402432,392.999023437,0,0,0,0,raw/unfiltered
2026-03-26 下手,2026/03/26 13:30:43,512.0,512.0,201216,392.998046875,0,0,0,0,raw/unfiltered
2026-06-03 WPH249 上手,missing,missing,1023.9921357416094,374784,365.999026,0,0,0,0,raw/unfiltered
2026-06-03 WPH249 下手,missing,missing,1023.9921357416094,374272,365.4990234,0,0,0,0,raw/unfiltered
2026-06-03 WPH250 上手,missing,missing,1023.9921357416094,377856,368.9990276,0,0,0,0,raw/unfiltered
2026-06-03 WPH250 下手,2026/06/03 15:38:29,1024.0,1024.000524282724,374784,365.999023437,0,0,0,0,raw/unfiltered
2026-08-27 上手 J5,2026/08/27 11:50:16,1024.0,1024.000524282724,359936,351.499023437,0,0,0,0,raw/unfiltered
2026-08-27 下手 J4,2026/08/27 11:50:19,1024.0,1024.000524282724,363520,354.999023437,0,0,0,0,raw/unfiltered
2026-08-27 上手 J5 濾波後,2026/08/27 13:49:54,1024.0,1024.000524282724,359936,351.499023437,0,0,0,0,filtered
2026-08-27 下手 J4 濾波後,2026/08/27 13:49:57,1024.0,1024.000524282724,355328,346.999023437,0,0,0,0,filtered
